,Title,Keywords,Strength_Weakness,Review_Rating,Review_Confidence
0,3D generation on ImageNet,"Keywords: 3d-generation, gans, generative adversarial networks, knowledge distillation, nerf, stylegan, radiance fields, volume rendering","Strength
The paper is well motivated as existing methods do not work well on non-aligned data.
Using an off-the-shelf depth estimation as a generic prior is intuitive, and experiments show that such prior helps improve the generated quality.
I find this paper easy and enjoyable to read and follow.
The visual generation quality is significantly higher than compared methods.
The learnable Ball-in-Sphere camera model does have a higher than a standard with 2 dof and works for objects that are not center-aligned.
The experiments are carefully and extensively conducted. I appreciate that failed attempts are also mentioned in the appendix, which helps the audience and following researchers better understand this work.
** Weaknesses**
The usage of an off-the-shelf depth estimator may make the comparison with other depth-estimator-free methods unfair. Plus, how do the performance and generalization of the monocular depth estimator affect the performance? Will the performance improve if trained with ground truth depth (for example if it is trained on a depth estimation dataset or a synthetic 3D dataset)?
The gradient penalty is widely used and studied in GAN-based approaches, the authors simply extend that to the parameters of the camera model. How good is the method if multiple objects are in the scene? The authors imply that their model works well on ""a scene consisting of multiple objects"", but I cannot find any experiments verifying this claim.
The so-called knowledge distillation for discriminator is more like an engineering trick and does not provide much technical insight to me. Moreover, the authors mention that ""it can work with arbitrary architectures of the discriminator,"" but it can only work on a discriminator that produces features with the same dimension as ResNet50. I am also wondering if this L2 KD loss works better than the mostly used KL divergence loss.
This paper should compare with a 3D photo baseline [a]. Combining a vanilla 2D image generator with such 3D photo generation methods could also produce realistic 3D image synthesis results while it seems to generalize on a larger range of images. I wonder how the performance differs for these two different generation paradigms. Will the proposed method have a higher multi-view consistency? Will the proposed fail while the 3D photo methods work better in certain situations? Thus, this line of work should also be discussed.
[a] 3D Photography using Context-aware Layered Depth Inpainting. CVPR 2020. | ** Strength **
The use of depth priors is an interesting idea to guide 3D-aware generative model.
** Weakness **
The use of the off-the-shelf depth estimator could, however, result in unfair comparisons as the depth estimator relies on another datasets for training. To be fair, the depth estimator has to be trained on the same dataset for the generative model, but this might not be possible on ImageNet. The effect of these additional data should be properly discussed.
a) Geometry prediction of the original depth estimator should be provided.
b) Compare a) to the geometry generated by the proposed method.
c) Compare the geometry generated by different depth estimators, and depth estimators trained on different datasets. Again, this point is not convincing to me still because the use of the additional data.
More results on ImageNet should be presented as claimed in the paper title. For example, out of the 1000 classes on ImageNet, how many categories have the authors experimented? To evaluate the geometry quality, the authors might want to refer to real object datasets such as ScanObjectNN, and compare the reconstructed geometry with these objects in point cloud format with FID evaluation.
[a] Uy et al., Revisiting Point Cloud Classification: A New Benchmark Dataset and Classification Model on Real-World Data, ICCV 2019. | Strengths
This paper is an empirical work, and the empirical results are relatively strong.
There is no reliable quantitative measure of generated geometry, so the paper introduces Non-Flatness Score. NFS is a very simple heuristic, but it does seem to provide at least some insight into the flatness of generated geometry.
The NFS values (Table 2) show that for unaligned datasets, previous work (e.g. EG3D) does not learn reasonable depth values, whereas 3DGP does learn reasonable depth values.
The proposed camera regularization strategy is intuitive. Figure 7 is an illustrative figure in this regard.
The inclusion of Appendix D (Failed Experiments) is very nice to see and much appreciated. The field would benefit substantially if sections like these were included in all papers.
Weaknesses
The novelty of this paper may or may not be viewed as a weakness. On the one hand, there are no groundbreaking ideas; the paper uses components that have been used before and combines them to obtain strong results. On the other hand, the exact method has never been used before; nobody else has combined these components in the precise manner that is being proposed here.
For the ImageNet experiments, the method uses more time/compute than competing methods (28.2 days vs 18.7 days or 15.9 days; Table 2). Training for a similar amount of time as prior work would allow for a fairer direct comparison.
When discussing GANs with external knowledge (at the top of page 4), the paper claims that “A similar technique is not suitable in our case as pre-training a generic RGB-D network on a large scale RGB-D dataset is problematic due to the lack of data.” However, it should be possible to train a generic (2D) RGB-D network on existing 2D image datasets by converting the 2D RGB images into RGBD images using monocular depth estimation; the paper effectively uses the same.
Minor Weaknesses
The method appears to be quite sensitive to hyperparameters (e.g. those on page 7). This is somewhat expected, as other GAN-based methods also tend to be quite hyperparameter-sensitive.
Questions:
Existing 3D monocular depth estimation models are far from perfect. Are the failure cases from the monocular depth estimation network learned and reproduced by the generative network? This is mentioned briefly on Page 6 as motivation for the depth adaptor; it would be interesting to provide some more detail on this point.
Do symmetries (e.g. those with respect to the position of the camera on the sphere) cause any issues with learning the camera distribution?
With regard to the camera distribution, it seems strange to have the same camera distance for diverse ImageNet categories such as a goldfinch and a church. One can of course partially account for this by predicting different focal lengths, but have you tried learning a more flexible distribution of camera such as the inside of a sphere or a 3D annulus? Additionally, how does the distribution of learned focal lengths for different ImageNet classes look like?
Given that the model learns a triplane representation, it should be possible to rotate all the way around the scene. However, all of the examples shown are front-facing views with small-to-medium camera movements. Does the model learn reasonable backsides for objects? For example, the backside of the horses shown at the bottom of Figure 5. It is not critical for the paper to reconstruct the backside of objects.",5.0,3.6666666666666665
1,A Call to Reflect on Evaluation Practices for Failure Detection in Image Classification,"Keywords: failure detection, out-of-distribution detection, predictive uncertainty quantification, selective classification, robustness, method evaluation","The key strength of the paper is the thorough discussion of evaluation of model classification failures, which is an important and often overlooked part of ML research. The key conclusion is concisely stated in the conclusion: a need for greater introspection and possibly less novelty.
The key weakness is that the paper is difficult to follow. It is not clear how the pitfalls discussed in Section 2 are evaluated or studied in the remainder of the paper. A number of relevant method definitions are found in the appendix, rather than the main paper. In addition, definitions of techniques is often found after the fact. The paper would benefit from greater organization and extraction of key findings and results that support these conclusions. In Table 2, a number of results are reported, however, it is difficult to parse the metrics, color code, and main results from the paper. One of key findings is that MSR outperforms other techniques, but (a) this is not obvious from the results as its not clear what trends to look for in the metrics (a simple up/down arrow would help) (b) no analysis and discussion of other techniques is provided. | (strengths)
The paper evidently springs from a substantial understanding of and experience with the topic.
The proposed criteria are thoughtful and offer, agree or disagree, a good point of departure for discussion.
The ""step back and look in the mirror"" approach is welcome.
The findings section is super interesting.
(weaknesses)
Sometimes the paper covers ground too fast for me (too condensed). | Strengths
I strongly encourage the intention stated by the authors: to articulate a call to various interrelated yet isolated communities to acknowledge the shortcomings of current practices and adapt to a more reasonable practice that not only better fit their alleged purpose but also help bring the isolated fields together.
Section 2 is a deliberate and eye-catching section. The authors discussed three pitfalls of the existing methods and derived the corresponding point-by-point requirements for a desired evaluation protocol for failure detection. Among them, I particularly like (1) the second pitfall where the authors drew out attention towards different sources of classification failure and pointed out that existing methods often cover a subset of them (also illustrated in Figure 1). (2) the third pitfall where most relevant research claim failure detection as their purpose but in fact are evaluated on outlier detection, causing problems due to the mismatch (also illustrated in Figure 2).
I also like that the authors pointed out an easily neglected issue: rounding errors during softmax operation may largely affect the resulting evaluation metrics.
Weaknesses
Personally I believe reorganizing section 4.2 would be beneficial. For example, consider organizing the CSFs to be compared by their subfields (MisD, SC, PUQ, OoD-D) if possible?
Table 1 is a bit difficult for me to quickly process — I understand what is displayed but my brain is not well trained to instantly make sense of this representation. Is this just me or is it a common inconvenience? If it’s that latter, I would suggest adding a column for each dataset showing the “sum of rank order for the current method across all evaluations in this dataset”.
Minor Things
Typo? Section 2, Pitfall 2, last sentence. “…it is not realistic to exclusively assume classification failures from label-altering shifts an no failures caused by label-preserving shifts.”
Typo? Section 4.3, Under heading “Different types of uncertainty are empirically not distinguishable.“ 3rd line. “…we are interested in the extend to which such relations can be confirmed…”
Is there any reason
yf,i
in Eq. 24 is highlighted?",8.666666666666666,2.6666666666666665
2,A Kernel Perspective of Skip Connections in Convolutional Networks,-''-,"Strength:
An asymptotic bound on the eigenvalues of the kernels of ResNets is given for the first time, which generalized the existing similar bound for that of convolutional networks.
A new lower bound for the eigenvalues of the kernels of ResNets is given, which implies that the receptive field of ResCNTK is smaller than that of CNTK (without skip connections), thus the ResNet is supposed to be more local biased.
The author justifies why ResNets converges faster than the normal CNN by utilizing the NTK technology.
The overall structure and logistics of the paper are good. The formulation and writing of the theorem statements and proofs are well structured and organized.
The results of experiments match the conclusions derived from theoretical analysis exactly.
Weakness or Questions:
In Theorem 5.1, the author states that the bound matches the counterpart of the case without skip connections up to constants, and the experiments show that the eigenvalues of ResCGPK are quite close to that of CGPK for the same
k
. The given comparison is between CGPK and ResCGPK, I wonder whether there is any comparison between the eigenvalues of CNTK and ResCNTK ? Also, this result is verified for some specific function, will the phenomenon that the ratio constants are close to 1 holds true for general functions?
Theorem 5.2 provides a lower bound of the eigenvalues of ResCNTK. But it seems that there is no strict argument for
λk
of ResCNTK being larger than that of CNTK because there is no upper bound for
λk
of CNTK. I wonder that which factors would affect the order relationship between them. The author only posted one figure of experiments to qualitatively demonstrate this fact instead of comprehensive quantitive comparison either in numerical or theoretical way. | Understanding skip connections in CNNs is an important question in the foundations of deep learning, and the present paper provides a comprehensive picture of what role they may play in the context of kernels. This is thus a significant contribution, and I support acceptance.
There are nonetheless a few questions which could deserve more discussion:
Some of the bounds derived on eigenvalues are not tight, e.g., only lower bounds in Thm 5.2. While the experiments seem to confirm the findings, and suggest the bounds are relevant, is there a way to show upper bounds that also include the
ck
quantities?
In practice, residual networks often involve pooling/downsampling operations in intermediate layers as well, which seem important for good performance (this is also true in convolutional kernels, e.g. in these papers). Do you have a sense of how these would affect the locality bias in the present paper? Should I interpret your analysis as focusing on a fixed intermediate residual block at a fixed resolution?
Regarding condition numbers in Section 6.2, this seems to suggest that eigenvalues decay more slowly in the residual case, at least non-asymptotically. Do you have a sense of what could be causing this, and which eigenfunctions might be dominating the spectrum in the residual vs non-residual case? These questions seem important to discuss, since they would give insight on the kinds of target functions for which we can hope that ""smaller condition number"" => ""faster learning"" holds. | Strengths
The effect of skip connection is rigorously analyzed in the language of kernels.
The eigenvalues of the kernels are evaluated.
Weaknesses
There's no clear outcome for practitioners. It's not straightforward to utilize the theoretical results for new methods/algorithms/architectures.",7.0,3.0
3,Addressing Parameter Choice Issues in Unsupervised Domain Adaptation by Aggregation,"Keywords: Domain adaptation, parameter choice, model selection, aggregation, importance weighting","Strengths:
1: This paper proposes a simple but effective method that extends weighted least squares to deep neural networks for hyperparameter selection in unsupervised domain adaptation.
2: Experiments on different tasks are conducted to verify the superiority of the proposed algorithm.
3: This paper is well-written and easy to follow. The background knowledge is presented well. The readers can easily understand the paper.
Weaknesses:
The baselines are few. Do the baselines include important and all the SOTA UDA methods?
In theory, the authors show that the target error of the proposed algorithm is asymptotically not worse than twice the error of the unknown optimal aggregation. Such a bound cannot provide guarantees of better performance of the proposed method over others. | Strenth:
The proposed aggregation approch is general without strong assumptions.
The paper gives detailed theoretical analysis.
Weaknesses:
For experiments, though the paper’s benchmarks are large and diverse, but still some popular UDA benchmarks, such as VisDA-2017, DomainNet etc are missing. Besides, the paper mainly compares with conventional methods, while certain more recent works are missing.
The novelty of the paper is limited besides the combination of IWV with linear aggregation. | Strengths
Simple method: The proposed method is based on importance weighting, which is a well-understood yet pretty simple method. In spite of its popularity, importance weighting has not been well studied in the context of linear aggregation for unsupervised domain adaptation. Hence, it does not undermine the novelty or contribution of this paper.
Effective empirical performance: The empirical performances through massive experiments demonstrate the practical effectiveness of the proposed method. It is remarkable that the proposed aggregation approach outperforms the existing methods to select a single best model.
Weaknesses
Theory does not elucidate the effect of the model size. Although the experiments demonstrate that the aggregation of multiple model candidates outperforms a single best model, it is not evident from the claim of Theorem 1. I tried to figure out from its proof but failed because the model size
ℓ
is hidden in absolute constants of concentration bounds. Is it possible to comment on what goes on with the target error when we increase
ℓ
?",6.666666666666667,3.0
4,Agree to Disagree: Diversity through Disagreement for Better Transferability,"Keywords: OOD generalization, Diversity, Ensemble","Strengths
S1: The paper is interesting, and overall well-written. The presentation is logical S2: The proposed method is intuitive S3: The experiments show a big improvement in performance on the Camelyon17 dataset compared to strong baselines S4: Experiments on uncertainty estimation show nice results.
Weaknesses
W1: The theory is somewhat confusing. W2: The improvements over the ERM are quite small on Waterbirds and Office-Home. W3: The Camelyon17 experiments appear to use a somewhat different setup compared to the baselines (although I don't think it provides a significant advantage to D-BAT). W4: Would be nice to have a direct comparison with [1] in the experiments.
I expand on the weaknesses below. | Strengths: The authors tackle an important problem, and present a nice approach with a relatively simple intuition. I think their proxy for identifying OOD items is clever. The mathematical derivation is thorough (though I have not checked its details) Their evaluation is convincing
Weaknesses: I'd like to see an explicit evaluation of their proxy for identifying OOD items It would be nice to see more of a qualitative evaluation of which type of items their approach improved performance over, and which it didn't. Is the improvement randomly distributed over all OOD items, or are there qualitative properties of some items that dictated how well it would work? | Pros :
The paper is very well written and clear.
The claims are supported by both theoretical arguments and empirical evidence
The methods successfully avoid spurious correlations
Cons :
Some parts of the paper are a too quick on some choices (agreement loss term, number of learners in the ensemble, weights of the ensemble ..)",8.0,3.6666666666666665
5,Aligning Model and Macaque Inferior Temporal Cortex Representations Improves Model-to-Human Behavioral Alignment and Adversarial Robustness,"Keywords: Computer Vision, Primate Vision, Adversarial Robustness, Behavioral Alignment, Inferior Temporal Cortex","Strengths:
(a) The understanding of the abilities of biological neural networks in a language that can directly be incorporated in the imporvement of artificial networks is a fundamental topic for the ICLR audience.
(b) The work uses original experimental results from IT (that I guess will be shared with the community) to improve nets previously fitted with general-purpose BrainScore, making them more suited to classification. And they succesfully show that the nets are not only closer to IT (as expected from the loss function), but they also improve the explanation of certain behavioral behavior and the classification performance.
(c) This works represents an advance in the literature that deals with the comparison between artificial and biological networks.
Weaknesses:
(a) The authors make a really interesting claim that I dont see clearly supported by the results (or I'd like to see it better stressed). In the last paragraph of the introduction and in the first paragraph of the discussion they say that increasing robustness to adversarial attacks does not necessarily imply being more close to IT. This is very interesting from the neuroscience point of view because solving the eventual problems of artificial networks in a specific task (such as classification) does not necessarily make them more human. This implies that eventhough the classification goal may be functionally sensible, the architecture or the actual strategies used by the artificial nets to get the goal are so different from the biological mechanisms that improving the performance of the artificial nets does not do them ""more biological"", and hence they provide little insight on what the brain may actually be doing. I see that Figs. 4 and 5 show that improved similarity with IT leads to better robustness in classification (blue points or blue lines, respectively), but in Fig. 5 I dont see how similarity with IT is measured in the orange curve. And in Fig. 4 it is not clear to me how the orange dots were trained: were they trained enforcing robustness to adversarial attacs but not imposing alignments with IT? (is this what ""random IT"" means?).
(b) Reproduction of behavior is limited to a single experiment. This is fine for a conference paper but the authors should acknowledge that a single experiment does not summarize the rich aspects of visual psychophysics [Bowers et al. BioArxiv. 21]. In this regard, there is literature that proposes that biologically sensible alternatives to the current artificial neurons in conventional artificial architectures improve robustness to adversarial attacks [Bertalmio et al. Sci. Rep. 20] (in line to what is proposed in this work), but also reproduce a range of classical psychophysical (behavioral) results on brightness and texture perception. Similarly, Gomez-Villa et al. Vis.Res. 20 and Li et al. J.Vision 22, show that simpler (more human) architectures better reproduce classical color illusions and the Contrast Sensitivity Functions. The need for more exhaustive connections between physiology/architecture and behavior (wider range of psychophysics) should be acknowledged in the introduction or discussion.
(c) I think readers would appreciate a mathematical expression for the ""CKA"" loss function rather than the verbal descrioption given in section 2.4
References:
[Bowers et al. 22] Deep Problems with Neural Network Models of Human Vision https://psyarxiv.com/5zf4s/
[Bertalmio et al. 20] Evidence for the intrinsically nonlinear nature of receptive fields in vision. Sci.Rep. https://www.nature.com/articles/s41598-020-73113-0
[Gomez-Villa et al. 20] Color illusions also deceive CNNs for low-level vision tasks: Analysis and implications. Vision Research https://www.sciencedirect.com/science/article/pii/S0042698920301243
[Li et al. 22] Contrast sensitivity functions in autoencoders. Journal of Vision https://jov.arvojournals.org/article.aspx?articleid=2778843 | Strengths
Simple idea well executed
Improved alignment of CNNs with human perception
Improved adversarial robustness
Paper is well written and easy to read
Weaknesses
Unclear to what extent this result generalizes to other network architectures
Improvements are relatively small | Strengths
The paper contains a wealth of experimental data, including human psychophysics and monkey electrophysiology. The number of monkeys is large for this type of study (6), which allows to test similarity metrics on held-out animals.
The evidence supporting the results is generally convincing.
The paper clearly underscores one limitation of the current approach/set of results, by pointing out how the increase in behavioral match between humans and network with increasing representational alignment does not hold for object categories not included in the training set. Some possible ideas for a way forward on this issue are proposed in the discussion.
Weaknesses
I could not find a link to the experimental data collected for this work, or a promise to publish such data upon acceptance.
Section 3.2 states that ""the label information during training helps on the behavioral task, but is not required for the trend [of better representation alignment improving behavioral match between humans and deep nets] to hold"". This is correct, but in my opinion this underplays the fact that label information is still used for the pre-training of the network. Perhaps this passage could be rephrased to remind the reader that label information is nevertheless still available from the pre-training, even when it's not included in the fine-tuning process.
If I have understood correctly, the monkey data was recorded specifically for this work. However, the phrasing around this fact in the supplement is somewhat confusing. Please clarify, stating explicitly that the data previously recorded from these monkeys for various research objective is different data that was not used in this work.
I urge the authors to consider raising their compensation for human subjects in future experiments. Psychophysics subjects were paid 4 USD an hour in this work (Supplementary Material). This seems very low considering that the experimenters are based in Massachusetts (based on the information in the paper), and the minimum hourly wage is 7.25 USD federally and 14.25 USD in MA.",8.0,4.0
6,AutoGT: Automated Graph Transformer Architecture Search,-''-,"Strength
Well-explained basic transformer and graph encoding strategy, which show excellent intuition of the search space design.
The proposed framework is compatible with more existing graph encoding strategies, which allows a broader comparison between graph transformer designs.
Tab5 shows an ablation study using a single supernet vs. additional supernets. The ablation study shows the improvement of performance by splitting a supernet. Such a design brings extra performance without extra parameters.
Weakness:
Section 3 explained the proposed AutoGT well in text. However, neither Fig 1 nor Fig 2 are self-explanatory. I could not understand their relations with the proposed method without reading the main paragraphs. The small fonts in the figures made it more challenging.
Figure 2 was never mentioned in the text, which makes it tricky to understand which section it belongs to.
Table 3 tries to show the importance of the proposed evolution search by comparing it to simple random selection and existing hand-crafted options. The results have large deviations. How can we ensure the proposed method results in consistently high-quality architecture designs?
The proposed method aims to automatically provide graph transformer designs. However, AutoGT introduces extra hyper-parameters such as the number of supernet sizes and the search space's design. | Strengths:
The proposal of automatically searching the optimal graph transformer architecture is important in the community of machine learning.
Constructing a unified graph Transformer formulation by combining several typical transformer architectures and graph encoding strategies seems to be a novel contribution.
Taking graph-specific properties into the automated graph transformer architecture search process is helpful and can distinguish this paper from other approaches such as autoformer.
Experiments are conducted over several widely used and benchmark datasets.
Weaknesses:
The major focus in this work is the complex relations between transformer architectures and the graph encodings in transformer layer. The authors are suggested to further discuss why this problem is important and challenging, and how the authors address the problem specifically.",8.0,4.0
7,Betty: An Automatic Differentiation Library for Multilevel Optimization,"Keywords: Multilevel Optimization, Automatic Differentiation, Bilevel Optimization, Meta Learning, Software Library","Strength:
The efficient automatic differentiation method is novel and effective.
The proposed system BETTY is thoughtfully designed and clearly presented. It is a very meaningful contribution to facilitating efficient implementations of MLO programs. The authors also showcase the scalability of the proposed system to models with hundreds of millions of parameters by performing MLO on the BERT-base model.
The system will be released open source.
The background knowledge and math foundations are clearly presented.
This is very impressive work to me. I do not see a major limitation of the proposed system. | Strengths
Principled expansion of bilevel optimization (which enjoy increasing popularity) to a DAG of sub-problems, well described
Understandable and usable formalism to define such problems in practice in a framework
Several informative examples, demonstrating the range of capabilities of the framework
Comparison with (and exploration around) SOTA, demonstrating similar (or improved) results and efficiency.
Extensive appendix with details
Opensource code
Weaknesses
Clarity could be improved in some places, as it can be a difficult problem to grasp (see below) | important problem
useful library that achieves good results",8.666666666666666,3.3333333333333335
8,Clean-image Backdoor: Attacking Multi-label Models with Poisoned Labels Only,-''-,"Pros:
This paper proposes a new angle for backdoor attacks where the attackers poison the image labeling process. Given the fact that a lot of data labeling work is being out-sourced, I think the threat model is realistic.
This proposed attack shows a high attack success rate while has high clean performance.
Cons:
The limitation of triggers. This paper uses some classes combination of the existing training images. I think there are many class combinations that are not covered in the coco training data. Is it possible for the attacker to use external images or synthesized images to create any trigger (any class combinations) that he wants?
All the evaluated attacks are done on object detection. Is it possible to attack another machine learning task? Only being able to attack object detection makes this attack a bit constrained. | Strengths:
The authors consider various scenarios of attack evaluation. However, it is still a lack of justification that the problem setting is significant enough.
Weaknesses:
In supervised learning, labels are critical, which makes the author's goal trivial. Hence, the novelty of this work is limited. The clean label setting will be more astonishing. The authors also mention that malicious behaviors are hard to be distinguished from common labeling mistakes.
Under the same threat model (third-party service provider), NeuRIPS 2021 ""Manipulating SGD with Data Ordering Attacks"" provide less capability to attackers (only batch reorder, no modification of label or image). This work needs to cite and compared.
Questions:
Why is this attack a targeted attack? Given an arbitrary image, how can the attacker specify the model's behavior during inference? | Strength:
Generally speaking, this work uses a new direction to generate backdoor attacks. It is different from previous works. The multi-label learning task is also a new task for the poisoning attack.
The results are good. Besides, the proposed clean-image backdoor can evade existing state-of-the-art defenses
It also proposes three target label selection strategies to achieve different goals.
Weaknesses:
The background seems to be too simple. What are the differences between the poisoning attack and the backdoor attack？
Maybe you should highlight your contributions in the introduction. Besides, please introduce your weaknesses in the paper.
Compared with previous works, maybe changing the labels is easier to be noticed. | I generally like the idea of this paper, and the execution is decent.
Can this really be called a backdoor attack? Conventional backdoor attacks focus on triggers selected by the attacker that can be placed on an image or on a physical object (e.g. a sticker on a stop sign or a pair of sunglasses). What is called a trigger in this paper is not what is typically considered a trigger. As is, this paper is essentially the same as standard backdoor attacks except they just consider an object already in the image to be the trigger, which in some ways makes the paper more akin to other data poisoning attacks (where there are other attacks that only modify labels).
Along the same lines, this paper cites some related work as backdoor attacks which are not actually about backdoor attacks. For example, the authors cite Shafahi et al. as a backdoor attack which it is not. Please correct this issue.
Existing backdoor literature focuses largely on classification tasks, but some of these backdoor attack methods might be directly applicable to the poisoned labels only setting as well. For example, Sleeper Agent backdoor attack is a gradient-based backdoor attack, and one could simply compute gradients with respect to the annotations.
It would be good to mention label flipping data poisoning attacks in the literature review. They are not competing with the proposed method, so they are not required as baselines. You can find some of them in the survey paper, “Dataset security for machine learning: Data poisoning, backdoor attacks, and defenses”.",6.0,3.5
9,Compressing multidimensional weather and climate data into neural networks,"Keywords: Weather and climate data, Compression","Strengths:
compression ratio (300 to 3000)
spherical transformation, which is indeed very important for earth data
usefulness of the method: while at first I was skeptical on the usefulness of such an approach for climate data, as clearly ERA5 will never be only stored in a degraded version, I was convinced by the usage of machine learning applications (and probably also others), where these amount of data are usually untractable for a local storage+usage.
comparison with state-of-the-art and on different settings
current limits of the method clearly analyzed
Some clarifications would be valuable for the paper, and in particular the following points:
I think that in order to be used, this kind of approach would need to have an uncertainty quantification, at least based on the frequency of the signal to recover, or based on the type of data, etc. in order for the user to be able to know when it can trust it and when in can't. How would you do it?
The compression consists in training a neural network. Do you think this is robust enough to work with all size, input field, etc.? Do you think this could be used by a non-machine learning expert?
In which type of applications would your error be negligible? It is good to have a very high compression, but the final quality needs to be satisfactory for targeted applications at least (since the hurricanes are for example not the case).
The compressed data representation are the neural network weight values directly. Could your compression be used directly to feed a machine learning model, or would users have to decompress the data before using it?
Would your method, and in particular the first part about the coordinate transformation, work in the case of non-worldwide data, i.e. only a part of the globe? | On the plus side,
Weather data is an interesting application. The need for compression is also well motivated in the paper.
I like the that the authors explain the specificities of weather data and how it impact their model.
Compression is evaluated both in terms of reconstruction error and accuracy of a neural network trained on decompressed data. Results are good.
On the negative side,
Experiments are a bit limited in scope. Only four data sets and one weather variable are considered. Unless I am mistaken, this means only four encoding were done. I appreciate that the data sets of different characteristics and I am aware encoding time is long. The largest time frame considered is 24 hours. The results are good, but they did not convince me the proposed approach could extended to years of historical data, an application mentioned by the authors. I think discussing this point would be interesting.
Another application mentioned by the author is to compress simulation data. It would be interesting to compare compression time with simulation time.
The use of GELU is not really motivated and not included in the ablation study.
Update I had misunderstood the scope of the experiments. The authors pointed this out and were kind enough to add additional experiments. They also answered the other points I raised. I believe this work is worth publishing.",8.0,3.5
