"Papers_Title","Papers_Keywords","Papers_OfficialReview_list2_StrengthandWeak","Papers_OfficialReview_list2_Rating","Papers_OfficialReview_list2_Confidence"
"Proving Test Set Contamination in Black-Box Language Models","Keywords: language modeling, memorization, dataset contamination","I have some questions about the definition of test set contamination below.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Proving Test Set Contamination in Black-Box Language Models","Keywords: language modeling, memorization, dataset contamination","The experiments do not compare the performance of the proposed tests to prior work. I understand that this work differs from say, the work from Carlini et al. in that this work focuses on set-level contamination, but how does aggregating instance-level statistics over a set compare?","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Proving Test Set Contamination in Black-Box Language Models","Keywords: language modeling, memorization, dataset contamination","Although a more efficient sharded rank comparison test is proposed, the computational complexity is still considerable. For example, testing 49 files using 1000 permutations per shard can take 12 hours for LLaMA2.
There is no comparison with other baseline methods.
The method relies on a strong assumption of data exchangeability, which may not hold in real-world datasets.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Proving Test Set Contamination in Black-Box Language Models","Keywords: language modeling, memorization, dataset contamination","I'm most concerned about the definition of contamination used in this paper. Currently, the most popular definition of contamination follows the n-gram analysis. In real-world scenarios when training large language models, it's hardly seen to directly feed original data samples in their original ordering as shown in Figure 1. The application of this work could be greatly limited.
From Figure 3, it seems that the parameters for shards and permutations are sensitive and have to be carefully selected when being applied to other test sets.
The paper only targets direct sentence appearance in the pre-training stage. What about instruction-tuning data in the SFT stage?","6: marginally above the acceptance threshold","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"BooookScore: A systematic exploration of book-length summarization in the era of LLMs","Keywords: summarization, evaluation, long context, prompting, LLM","A potential weakness lies in the design of the BOOOOKSCORE metric. The approach of weighing all sentences equally may overlook the varying importance of different parts of the text for overall coherence. Additionally, there is an absence of a consistency check for the evaluation metric.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"BooookScore: A systematic exploration of book-length summarization in the era of LLMs","Keywords: summarization, evaluation, long context, prompting, LLM","One point I miss in the experiments is a baseline without hierarchical merging or incremental updating. The reason is that a significant fraction of books have length around 100k tokens or less (if we observe the statistics of BookSum, for instance), and it would be interesting to see if the hierarchical merging or incremental updating introduce (or not) a high quantity of coherence issues compared to a vanilla LLM approach. Even with some level of truncation, it should still be possible to assess coherence issues.
Minor issue: you mention in section 3 that ""we did not find summaries online for any books in our dataset, which means LLM memorization of these summaries is impossible."" Not finding results online by no means imply that memorization is impossible. In fact, we have no guarantee that closed-source models such as GPT-4 are trained just on publicly available data.","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"BooookScore: A systematic exploration of book-length summarization in the era of LLMs","Keywords: summarization, evaluation, long context, prompting, LLM","I have very little concerns about this paper. It is however unfortunate that the evaluation framework did not consider faithfulness. This could have been done by asking annotators to assess each fact and search for it inside the book to verify its factuality.","10: strong accept, should be highlighted at the conference","5: You are absolutely certain about your assessment. You are very familiar with the related work and checked the math/other details carefully."
"BooookScore: A systematic exploration of book-length summarization in the era of LLMs","Keywords: summarization, evaluation, long context, prompting, LLM","The evaluation of human annotations focuses only on precision and does not investigate recall. However, the authors are open about this limitation.
Some of the examples of types of errors shown in Table 1 seem to be of questionable quality; for example, the first example about the ""mysterious man"" might as well be unanswered in the book (although I do not know the contents of the book in question). This may be a side effect of offering a monetary reward based in part on the number of annotations (cf. Appendix G).
The sentence-level score may disproportionately favor summaries that contain a large number of (short) sentences. Furthermore, the evaluation of different models does not further investigate whether some of the score differences can be explained by the different length of the summaries (e.g., a shorter summary may be more prone to omissions).","8: accept, good paper","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
"Generalization in diffusion models arises from geometry-adaptive harmonic representations","Keywords: diffusion models, memorization, generalization, inductive bias, curse of dimensionality, denoising, geometry-adaptive harmonic basis","It seems that the theoretical framework posited in section 3 is specific to the particular denoiser architectures being studied in the paper (BF-CNN). For example, PixelNet++-type denoisers used in modern diffusion models do not seem to be amenable to a decomposition like equation (6), because they involve attention layers and positional embeddings (presumably with affine components) to implement different conditioning operations. It would be good if the authors could comment on this issue, and how they see the theory extending to this modern setting.","8: accept, good paper","3: You are fairly confident in your assessment. It is possible that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work. Math/other details were not carefully checked."
"Generalization in diffusion models arises from geometry-adaptive harmonic representations","Keywords: diffusion models, memorization, generalization, inductive bias, curse of dimensionality, denoising, geometry-adaptive harmonic basis","Nothing stands out, just needs to finalize the text.","10: strong accept, should be highlighted at the conference","4: You are confident in your assessment, but not absolutely certain. It is unlikely, but not impossible, that you did not understand some parts of the submission or that you are unfamiliar with some pieces of related work."
