Sentence Number,Page,Sentence,Similarity,Cluster Number
1,1,"Editor: Ivan Titov

Abstract

Transfer learning, where a model is first pre-trained on a data-rich task before being fine- tuned on a downstream task, has emerged as a powerful technique in natural language processing (NLP).",0.9365032211502214,0
2,1,"The effectiveness of transfer learning has given rise to a diversity of approaches, methodology, and practice.",0.782425839416389,2
3,1,"In this paper, we explore the landscape of transfer learning techniques for NLP by introducing a unified framework that converts all text-based language problems into a text-to-text format.",0.859128057184219,0
4,1,"Our systematic study compares pre-training objectives, architectures, unlabeled data sets, transfer approaches, and other factors on dozens of language understanding tasks.",0.8829750892763591,0
5,1,"By combining the insights from our exploration with scale and our new “Colossal Clean Crawled Corpus”, we achieve state-of-the-art results on many benchmarks covering summarization, question answering, text classification, and more.",0.8756681161024409,0
6,1,"To facilitate future work on transfer learning for NLP, we release our data set, pre-trained models, and code.",0.8542881870214978,1
7,1,"1

Keywords: transfer learning, natural language processing, multi-task learning, attention- based models, deep learning

1.",0.8818037012949693,0
8,1,"Introduction

Training a machine learning model to perform natural language processing (NLP) tasks often requires that the model can process text in a way that is amenable to downstream learning.",0.8939697637664509,0
9,1,This can be loosely viewed as developing general-purpose knowledge that allows the model to “understand” text.,0.882188593099619,0
10,1,This knowledge can range from low-level (e.g.,0.7527196352277838,2
11,1,"the spelling

∗ .",0.4890339562683911,4
12,1,Equal contribution.,0.5594807169209921,4
13,1,A description of each author’s contribution is available in Appendix A.,0.7251233771390061,2
14,1,Correspondence to craffel@gmail.com .,0.6374271001347961,3
15,1,"1. https://github.com/google-research/text-to-text-transfer-transformer

© 2020 Colin Raffel, Noam Shazeer, Adam Roberts, Katherine Lee, Sharan Narang, Michael Matena, Yanqi Zhou, Wei Li, and Peter J. Liu.",0.8241959805303796,1
16,1,"License: CC-BY 4.0, see https://creativecommons.org/licenses/by/4.0/ .",0.6778363657156293,3
17,1,Attribution requirements are provided at http://jmlr.org/papers/v21/20-074.html .,0.7206430049858061,2
18,2,"Raffel, Shazeer, Roberts, Lee, Narang, Matena, Zhou, Li and Liu

or meaning of words) to high-level (e.g.",0.8128330367453752,1
19,2,that a tuba is too large to fit in most backpacks).,0.7351051024532926,2
20,2,"In modern machine learning practice, providing this knowledge is rarely done explicitly; instead, it is often learned as part of an auxiliary task.",0.9087696149408622,0
21,2,"For example, a historically common approach is to use word vectors (Mikolov et al., 2013b,a; Pennington et al., 2014) to map word identities to a continuous representation where, ideally, similar words map to similar vectors.",0.8869582382243981,0
22,2,"These vectors are often learned through an objective that, for example, encourages co-occurring words to be positioned nearby in the continuous space (Mikolov et al., 2013b).",0.7936117376123273,1
23,2,"Recently, it has become increasingly common to pre-train the entire model on a data-rich task.",0.8387012225527033,1
24,2,"Ideally, this pre-training causes the model to develop general-purpose abilities and knowledge that can then be transferred to downstream tasks.",0.8402242948235763,1
25,2,"In applications of transfer learning to computer vision (Oquab et al., 2014; Jia et al., 2014; Huh et al., 2016; Yosinski et al., 2014), pre-training is typically done via supervised learning on a large labeled data set like ImageNet (Russakovsky et al., 2015; Deng et al., 2009).",0.8552548547547116,1
26,2,"In contrast, modern techniques for transfer learning in NLP often pre-train using unsupervised learning on unlabeled data.",0.9432614822475329,0
27,2,"This approach has recently been used to obtain state-of-the-art results in many of the most common NLP benchmarks (Devlin et al., 2018; Yang et al., 2019; Dong et al., 2019; Liu et al., 2019c; Lan et al., 2019).",0.8120655677117242,1
28,2,"Beyond its empirical strength, unsupervised pre-training for NLP is particularly attractive because unlabeled text data is available en masse thanks to the Internet—for example, the Common Crawl project 2 produces about 20TB of text data extracted from web pages each month.",0.901929528031786,0
29,2,"This is a natural fit for neural networks, which have been shown to exhibit remarkable scalability, i.e.",0.8536445489725927,1
30,2,"it is often possible to achieve better performance simply by training a larger model on a larger data set (Hestness et al., 2017; Shazeer et al., 2017; Jozefowicz et al., 2016; Mahajan et al., 2018; Radford et al., 2019; Shazeer et al., 2018; Huang et al., 2018b; Keskar et al., 2019a).",0.8165743343318339,1
31,2,"This synergy has resulted in a great deal of recent work developing transfer learning methodology for NLP, which has produced a wide landscape of pre-training objectives (Howard and Ruder, 2018; Devlin et al., 2018; Yang et al., 2019; Dong et al., 2019), unlabeled data sets (Yang et al., 2019; Liu et al., 2019c; Zellers et al., 2019), benchmarks (Wang et al., 2019b, 2018; Conneau and Kiela, 2018), fine-tuning methods (Howard and Ruder, 2018; Houlsby et al., 2019; Peters et al., 2019), and more.",0.8300331915694187,1
32,2,"The rapid rate of progress and diversity of techniques in this burgeoning field can make it difficult to compare different algorithms, tease apart the effects of new contributions, and understand the space of existing methods for transfer learning.",0.8494542937422328,1
33,2,"Motivated by a need for more rigorous understanding, we leverage a unified approach to transfer learning that allows us to systematically study different approaches and push the current limits of the field.",0.8033691123701449,1
34,2,"The basic idea underlying our work is to treat every text processing problem as a “text-to-text” problem, i.e.",0.8831858152438661,0
35,2,taking text as input and producing new text as output.,0.8321655770550023,1
36,2,"This approach is inspired by previous unifying frameworks for NLP tasks, including casting all text problems as question answering (McCann et al., 2018), language modeling (Radford et al., 2019), or span extraction Keskar et al.",0.8857269123714513,0
